GrLivArea,SalePrice
29,4241592698
30,4241494288
31,4241299320
32,4239494920
33,4238610442
34,4237903324
35,4236387427
36,4236406079
37,4236169283
38,4236078638
39,4236023664
40,4232843469
41,4231898812
42,4231101842
43,4227379588
44,4226173342
45,4226138806
46,4225069903
47,4223734241
48,4223665254
49,4222660439
50,4222140818
51,4221898318
52,4221641346
53,4221576418
54,4221485761
55,4219858312
56,4219832169
57,4219463634
58,4216061140
59,4214350448
60,4214083254
61,4212158339
62,4212143267
63,4212070940
64,4211921150
65,4211849890
66,4210171723
67,4207148465
68,4207162915
69,4206999607
70,4205208084
71,4205220383
72,4204661174
